cliente_id,nome,cognome,indirizzo,zona,latitudine,longitudine,telefono,email
C001,Sara,Conti,"""Via Roma, 71""",Selvazzano,45.383357,11.823675,+39 312 858 9935,sara.conti12@outlook.it
C002,Luca,Ferrari,"""Via Garibaldi, 56""",Selvazzano,45.390129,11.806637,+39 346 833 9928,luca.ferrari54@libero.it
C003,Chiara,Testa,"""Via Mazzini, 2""",Albignasego,45.362755,11.870166,+39 340 320 6514,chiara.testa14@gmail.com
C004,Giulia,Conti,"""Corso Italia, 89""",Vigodarzere,45.444349,11.839043,+39 375 649 3045,giulia.conti49@gmail.com
C005,Lucia,Costa,"""Viale Codalunga, 93""",Vigodarzere,45.442615,11.839669,+39 312 333 5741,lucia.costa11@libero.it
C006,Enrico,Conti,"""Via Milano, 72""",Pontevigodarzere,45.437256,11.872756,+39 358 463 4432,enrico.conti86@yahoo.it
C007,Anna,Villa,"""Via Oberdan, 19""",Vigodarzere,45.453239,11.850819,+39 347 267 8573,anna.villa49@yahoo.it
C008,Giorgio,Esposito,"""Via Aquileia, 143""",Selvazzano,45.394431,11.826228,+39 318 157 4752,giorgio.esposito5@yahoo.it
C009,Giulia,Bruno,"""Via Garibaldi, 55""",Vigodarzere,45.459033,11.845552,+39 311 611 7482,giulia.bruno83@outlook.it
C010,Davide,Bruno,"""Via Cavour, 64""",Limena,45.444935,11.850928,+39 370 697 7543,davide.bruno47@libero.it
C011,Davide,Longo,"""Corso del Popolo, 24""",Centro Padova,45.415066,11.868468,+39 345 911 7916,davide.longo77@gmail.com
C012,Giulia,Lombardi,"""Via XX Settembre, 120""",Limena,45.438034,11.846277,+39 320 796 2876,giulia.lombardi88@yahoo.it
C013,Valentina,Esposito,"""Corso Italia, 29""",Abano Terme,45.358434,11.788889,+39 315 996 5315,valentina.esposito65@libero.it
C014,Paola,Villa,"""Via Garibaldi, 77""",Limena,45.446615,11.836668,+39 318 265 9837,paola.villa68@gmail.com
C015,Elena,Marino,"""Corso del Popolo, 5""",Arcella,45.428298,11.887089,+39 326 926 6038,elena.marino31@gmail.com
C016,Riccardo,Marchetti,"""Via XX Settembre, 21""",Arcella,45.423566,11.885585,+39 318 645 3060,riccardo.marchetti17@outlook.it
C017,Lucia,Moretti,"""Via Mazzini, 136""",Vigodarzere,45.448155,11.843083,+39 389 873 4295,lucia.moretti92@yahoo.it
C018,Giulia,Mancini,"""Via Oberdan, 96""",Pontevigodarzere,45.443591,11.874836,+39 347 330 2049,giulia.mancini44@gmail.com
C019,Claudia,Greco,"""Via Dante, 57""",Centro Padova,45.396104,11.879946,+39 347 169 1514,claudia.greco43@gmail.com
C020,Paola,Ricci,"""Via Mazzini, 125""",Selvazzano,45.390942,11.82336,+39 392 690 8744,paola.ricci32@outlook.it
C021,Stefano,Caruso,"""Via Dante, 25""",Arcella,45.421816,11.874503,+39 370 578 1887,stefano.caruso87@gmail.com
C022,Luca,Lombardi,"""Via Aquileia, 87""",Arcella,45.411968,11.870565,+39 375 243 7912,luca.lombardi24@yahoo.it
C023,Chiara,Ricci,"""Viale Codalunga, 20""",Pontevigodarzere,45.441393,11.884543,+39 338 151 9856,chiara.ricci2@gmail.com
C024,Giorgio,Coppola,"""Viale Codalunga, 61""",Albignasego,45.355754,11.873553,+39 329 510 1960,giorgio.coppola22@outlook.it
C025,Marco,Lombardi,"""Via Mazzini, 117""",Abano Terme,45.358152,11.800976,+39 323 669 8973,marco.lombardi20@libero.it
C026,Giacomo,Serra,"""Via Roma, 149""",Limena,45.433463,11.840527,+39 327 698 8811,giacomo.serra65@libero.it
C027,Luca,Longo,"""Via Garibaldi, 48""",Arcella,45.420281,11.882205,+39 347 513 2964,luca.longo73@libero.it
C028,Claudia,Barbato,"""Via Roma, 21""",Noventa Padovana,45.431777,11.951565,+39 356 367 4346,claudia.barbato86@yahoo.it
C029,Riccardo,Bruno,"""Via Milano, 34""",Abano Terme,45.358973,11.800296,+39 333 109 8508,riccardo.bruno80@gmail.com
C030,Andrea,Greco,"""Via Dante, 130""",Abano Terme,45.351179,11.786376,+39 333 350 7054,andrea.greco37@libero.it
C031,Chiara,Santoro,"""Via Palestro, 78""",Vigodarzere,45.461612,11.85737,+39 383 108 5905,chiara.santoro85@gmail.com
C032,Paolo,Gallo,"""Via Mazzini, 30""",Arcella,45.423818,11.869731,+39 350 719 4450,paolo.gallo92@yahoo.it
C033,Filippo,Mancini,"""Via Oberdan, 68""",Limena,45.443725,11.854728,+39 329 152 2512,filippo.mancini82@outlook.it
C034,Roberto,Bruno,"""Via Roma, 1""",Rubano,45.430507,11.811291,+39 349 265 8239,roberto.bruno71@outlook.it
C035,Lucia,Ferrari,"""Via Garibaldi, 20""",Albignasego,45.359094,11.88203,+39 392 665 3426,lucia.ferrari56@libero.it
C036,Luca,Costa,"""Corso Italia, 11""",Rubano,45.417042,11.801989,+39 338 462 7658,luca.costa80@libero.it
C037,Giorgio,Villa,"""Via Dante, 42""",Albignasego,45.367154,11.862595,+39 315 440 7745,giorgio.villa86@libero.it
C038,Nicola,Moretti,"""Via Montegrappa, 28""",Noventa Padovana,45.436932,11.958606,+39 347 304 8541,nicola.moretti45@yahoo.it
C039,Roberto,Ferrara,"""Viale Codalunga, 59""",Selvazzano,45.378568,11.810635,+39 356 385 2137,roberto.ferrara99@yahoo.it
C040,Alessandro,Esposito,"""Via Palestro, 103""",Limena,45.439948,11.833662,+39 349 282 5349,alessandro.esposito5@gmail.com
C041,Elena,Caruso,"""Corso Italia, 81""",Noventa Padovana,45.430549,11.950274,+39 367 690 4114,elena.caruso33@gmail.com
C042,Anna,Caruso,"""Via Roma, 134""",Limena,45.448485,11.855566,+39 315 786 4228,anna.caruso47@outlook.it
C043,Andrea,Mancini,"""Via Altinate, 85""",Vigodarzere,45.445534,11.858352,+39 315 407 9308,andrea.mancini40@outlook.it
C044,Francesco,Lombardi,"""Via Aquileia, 76""",Limena,45.435055,11.843091,+39 367 793 3851,francesco.lombardi79@yahoo.it
C045,Giulia,Greco,"""Viale Codalunga, 1""",Abano Terme,45.354886,11.788317,+39 392 721 6279,giulia.greco60@outlook.it
C046,Chiara,Mancini,"""Via Dante, 131""",Pontevigodarzere,45.44105,11.887036,+39 315 273 2389,chiara.mancini37@yahoo.it
C047,Andrea,Santoro,"""Via Montegrappa, 61""",Abano Terme,45.353391,11.782779,+39 320 147 5011,andrea.santoro61@gmail.com
C048,Chiara,Caruso,"""Via Altinate, 148""",Selvazzano,45.39524,11.815215,+39 367 349 3417,chiara.caruso84@gmail.com
C049,Paolo,Coppola,"""Viale Codalunga, 28""",Noventa Padovana,45.421252,11.957299,+39 314 630 8611,paolo.coppola7@libero.it
C050,Giorgio,Vitale,"""Via Garibaldi, 117""",Albignasego,45.365234,11.878022,+39 389 709 6198,giorgio.vitale97@outlook.it
C051,Elena,Santoro,"""Via Aquileia, 130""",Noventa Padovana,45.435934,11.951149,+39 345 861 8777,elena.santoro58@yahoo.it
C052,Valentina,Ricci,"""Viale Codalunga, 71""",Limena,45.44363,11.838742,+39 375 179 5681,valentina.ricci31@yahoo.it
C053,Francesco,Marino,"""Via Altinate, 139""",Arcella,45.409321,11.87155,+39 314 256 4505,francesco.marino9@outlook.it
C054,Monica,Marino,"""Via Palestro, 120""",Noventa Padovana,45.417494,11.957989,+39 367 888 1320,monica.marino98@outlook.it
C055,Serena,Ferrari,"""Corso Italia, 77""",Noventa Padovana,45.436483,11.960882,+39 370 651 9947,serena.ferrari78@libero.it
C056,Serena,Ricci,"""Via Mazzini, 112""",Pontevigodarzere,45.422697,11.872067,+39 312 917 7624,serena.ricci93@libero.it
